City,Location,Coordinates,2,3
"CARLSTADT, NJ","Carlstadt, NJ, USA","(40.8403778, -74.0906974)",,
"KAUKAUNA, WI","Kaukauna, WI 54130, USA","(44.2780432, -88.27205029999999)",,
"MEREDITH, NH","Meredith, NH, USA","(43.65753309999999, -71.500317)",,
"BAY CITY, TX","Bay City, TX 77414, USA","(28.9827565, -95.969402)",,
"SPRINGFIELD, TN","Springfield, TN 37172, USA","(36.5092118, -86.8849984)",,
"ASHLAND, NH","Ashland, NH, USA","(43.695318, -71.6306318)",,
"SCHILLER PARK, IL","Schiller Park, IL, USA","(41.95586369999999, -87.8708965)",,
"FALLS CREEK, PA","Falls Creek, PA 15840, USA","(41.1450617, -78.8044748)",,
"VIENNA, GA","Vienna, GA 31092, USA","(32.0915577, -83.7954518)",,
"PLEASANT PRAIRIE, WI","Pleasant Prairie, WI, USA","(42.5530753, -87.9334118)",,
"XENIA, OH","Xenia, OH 45385, USA","(39.6847822, -83.9296526)",,
"PRESTON, WA","Preston, WA 98027, USA","(47.52391739999999, -121.9274489)",,
"CORINTH, MS","Corinth, MS 38834, USA","(34.9342548, -88.5222702)",,
"ALBION, MI","Albion, MI 49224, USA","(42.243097, -84.7530304)",,
"MORRISVILLE, NC","Morrisville, NC, USA","(35.823483, -78.8255621)",,
"HARLINGEN, TX","Harlingen, TX, USA","(26.1906306, -97.69610259999999)",,
"ROMEOVILLE, IL","Romeoville, IL, USA","(41.6475306, -88.0895061)",,
"BRIDGEWATER, NJ","Bridgewater Township, NJ, USA","(40.5939636, -74.6049061)",,
"ECATEPEC, EM","Agricultura 4-A, Ecatepec de Morelos, Méx., Mexico","(19.6057728, -99.03651119999999)",,
"HIGH SPRINGS, FL","High Springs, FL, USA","(29.8269064, -82.59678319999999)",,
"COLUMBUS, KS","Columbus, KS 66725, USA","(37.1692278, -94.8441239)",,
"TULLY, NY","Tully, NY 13159, USA","(42.7981229, -76.1093695)",,
"HAMTRAMCK, MI","Hamtramck, MI, USA","(42.3928151, -83.0496438)",,
"EULESS, TX","Euless, TX, USA","(32.8370727, -97.08195409999999)",,
"LYNDHURST, NJ","Lyndhurst, NJ, USA","(40.81201710000001, -74.1243063)",,
"GREENWOOD, IN","Greenwood, IN, USA","(39.6136578, -86.10665259999999)",,
"FISHERSVILLE, VA","Fishersville, VA, USA","(38.0990233, -78.9691923)",,
"DEPTFORD, NJ","Deptford Township, NJ, USA","(39.8227054, -75.11951069999999)",,
"WAUKESHA, WI","Waukesha, WI, USA","(43.0116784, -88.2314813)",,
"LEVITTOWN, PA","Levittown, PA, USA","(40.1551096, -74.8287747)",,
"NORWICH, NY","Norwich, NY 13815, USA","(42.531184, -75.5235149)",,
"POLAND SPRING, ME","Poland Spring, Poland, ME 04274, USA","(44.027851, -70.3595002)",,
"HORN LAKE, MS","Horn Lake, MS, USA","(34.9553719, -90.03481389999999)",,
"HAUPPAUGE, NY","Hauppauge, NY, USA","(40.8256536, -73.2026138)",,
"HUDSON, MA","Hudson, MA, USA","(42.39173599999999, -71.56613899999999)",,
"CENTER OSSIPEE, NH","Center Ossipee, Ossipee, NH 03814, USA","(43.7551052, -71.1529758)",,
"LOVES PARK, IL","Loves Park, IL, USA","(42.3200189, -89.05816209999999)",,
"SPRING PARK, MN","Spring Park, MN 55384, USA","(44.9352407, -93.63218169999999)",,
"MORRIS, MN","Morris, MN 56267, USA","(45.5919444, -95.9188889)",,
"METAIRIE, LA","Metairie, LA, USA","(29.9840922, -90.1528519)",,
"COMSTOCK, NY","Comstock, NY, USA","(43.4578976, -73.4377294)",,
"URBANA, IL","Urbana, IL, USA","(40.1105875, -88.2072697)",,
"ZEPHYRHILLS, FL","Zephyrhills, FL, USA","(28.2336196, -82.18119469999999)",,
"HAWKINS, TX","Hawkins, TX 75765, USA","(32.58847350000001, -95.20411349999999)",,
"CABAZON, CA","Cabazon, CA 92230, USA","(33.9175154, -116.7872399)",,
"JACKSON, WI","Jackson, WI 53037, USA","(43.3238919, -88.1667599)",,
"CRAWFORD, GA","Crawford, GA 30630, USA","(33.8828954, -83.154596)",,
"STANWOOD, MI","Stanwood, MI 49346, USA","(43.5786366, -85.44920809999999)",,
"KINGFIELD, ME","Kingfield, ME 04947, USA","(44.9592231, -70.1539542)",,
"ZAPOPAN, JA","Zapopan, Jalisco, Mexico","(20.6719563, -103.416501)",,
"OLDSMAR, FL","Oldsmar, FL, USA","(28.0341847, -82.6650992)",,
"TOLUCA, -","Toluca, State of Mexico, Mexico","(19.2826098, -99.6556653)",,
"LEAVENWORTH, KS","Leavenworth, KS, USA","(39.3111112, -94.9224637)",,
"ANTIOCH, IL","Antioch, IL 60002, USA","(42.4772418, -88.0956396)",,
"LOUDONVILLE, OH","Loudonville, OH 44842, USA","(40.6353382, -82.2332144)",,
"CORPUS CHRISTI, TX","Corpus Christi, TX, USA","(27.8005828, -97.39638099999999)",,
"PASADENA, TX","Pasadena, TX, USA","(29.6910625, -95.2091006)",,
"MADISONVILLE, KY","Madisonville, KY 42431, USA","(37.32810050000001, -87.4988882)",,
"BIRDSBORO, PA","Birdsboro, PA 19508, USA","(40.2645371, -75.8040852)",,
"MCKINNEY, TX","McKinney, TX, USA","(33.1983388, -96.6389342)",,
"CAPITOL HEIGHTS, MD","Capitol Heights, MD 20743, USA","(38.8851122, -76.9158068)",,
"FAYETTEVILLE, AR","Fayetteville, AR, USA","(36.082156, -94.17185420000001)",,
"LISBON, NH","Lisbon, NH, USA","(44.2133222, -71.9109059)",,
"SHERBURNE, NY","Sherburne, NY 13460, USA","(42.6781266, -75.4985123)",,
"ANGE GARDIEN, QC","Ange-Gardien, QC J0E 1E0, Canada","(45.35659630000001, -72.9356311)",,
"CHERRY VALLEY, IL","Cherry Valley, IL, USA","(42.2347434, -88.94899120000001)",,
"WALLKILL, NY","Wallkill, NY 12589, USA","(41.60564919999999, -74.1840358)",,
"LANCASTER, NH","Lancaster, NH, USA","(44.4889204, -71.5692477)",,
"CONNELLSVILLE, PA","Connellsville, PA 15425, USA","(40.0178522, -79.58948280000001)",,
"SAINT-AUGUSTIN DE DESMAURES, QC","Saint-Augustin-de-Desmaures, QC G3A 2E3, Canada","(46.747041, -71.459344)",,
"VAUDREUIL-DORION, QC","Vaudreuil-Dorion, QC, Canada","(45.404236, -74.03795989999999)",,
"NORTH CHELMSFORD, MA","North Chelmsford, Chelmsford, MA 01863, USA","(42.63960549999999, -71.383617)",,
"UNADILLA, NY","Unadilla, NY, USA","(42.3618503, -75.3178952)",,
"MT STERLING, KY","Mt Sterling, KY 40353, USA","(38.0564679, -83.9432556)",,
"LA COMBE, LA","Lacombe, LA 70445, USA","(30.3135288, -89.9431264)",,
"N CHESTERFIELD, VA","North Chesterfield, Richmond, VA 23234, USA","(37.458993, -77.468513)",,
"BERTHIERVILLE, QC","Berthierville, QC, Canada","(46.083474, -73.1847588)",,
"TRENTON, MO","Trenton, MO 64683, USA","(40.0789018, -93.61660739999999)",,
"LEWISTON, ID","Lewiston, ID 83501, USA","(46.4004089, -117.001189)",,
"E MODESTO, CA","Modesto, CA, USA","(37.63909719999999, -120.9968782)",,
"COVINGTON, TN","Covington, TN, USA","(35.5648087, -89.64897859999999)",,
"WILTON, IA","Wilton, IA 52778, USA","(41.5889154, -91.01681789999999)",,
"HAINES CITY, FL","Haines City, FL, USA","(28.1141841, -81.61785359999999)",,
"FLANDERS, NJ","Flanders, Mt Olive Township, NJ 07836, USA","(40.8418677, -74.7161489)",,
"SCOTT CITY, MO","Scott City, MO, USA","(37.2167175, -89.5245336)",,
"MOUNT JULIET, TN","Mt. Juliet, TN, USA","(36.200055, -86.5186054)",,
"PUNTA GORDA, FL","Punta Gorda, FL, USA","(26.9297836, -82.0453664)",,
"CANTONMENT, FL","Cantonment, FL 32533, USA","(30.6053644, -87.34464919999999)",,
"MADISON, TN","Madison, Nashville, TN 37115, USA","(36.25620019999999, -86.7143516)",,
"WEBSTER, MA","Webster, MA 01570, USA","(42.05009099999999, -71.88006279999999)",,
"GAS CITY, IN","Gas City, IN, USA","(40.4872625, -85.6130311)",,
"LANCASTER, SC","Lancaster, SC 29720, USA","(34.7204257, -80.7709014)",,
"CANTON, MS","Canton, MS 39046, USA","(32.6126381, -90.0367512)",,
"BARTOW, FL","Bartow, FL, USA","(27.8964147, -81.8431374)",,
"NEW BERN, NC","New Bern, NC, USA","(35.108493, -77.04411429999999)",,
"CONCORD, NH","Concord, NH, USA","(43.2081366, -71.5375718)",,
"STREAMWOOD, IL","Streamwood, IL, USA","(42.0255827, -88.17840849999999)",,
"PUSAN BUSAN, KR","Busan, South Korea","(35.1795543, 129.0756416)",,
"ELWOOD, IL","Elwood, IL 60421, USA","(41.4039201, -88.1117242)",,
"SYLVESTER, GA","Sylvester, GA 31791, USA","(31.5307349, -83.8354542)",,
"ELMA, NY","Elma, NY, USA","(42.8212288, -78.6341996)",,
"VIRGINIA, MN","Virginia, MN, USA","(47.5232596, -92.53657129999999)",,
"JAMESTOWN, ND","Jamestown, ND, USA","(46.9105438, -98.7084357)",,
"MONTROSE, PA","Montrose, PA 18801, USA","(41.8339653, -75.8771388)",,
"FREDONIA, KY","Fredonia, KY 42411, USA","(37.2081074, -88.0566877)",,
"CONWAY, NH","Conway, NH, USA","(43.9791831, -71.1203479)",,
"LONDON, KY","London, KY, USA","(37.1289771, -84.08326459999999)",,
"WINSTON-SALEM, NC","Winston-Salem, NC, USA","(36.09985959999999, -80.244216)",,
"BROWNSVILLE, TN","Brownsville, TN 38012, USA","(35.5939671, -89.26229099999999)",,
"MEDINA, OH","Medina, OH 44256, USA","(41.143245, -81.8552196)",,
"HUNTINGDON, PA","Huntingdon County, PA, USA","(40.4155273, -78.0195387)",,
"MONROE, NC","Monroe, NC, USA","(34.9854275, -80.5495112)",,
"BLUFFTON, SC","Bluffton, SC, USA","(32.2371465, -80.8603868)",,
"PARKERSBURG, WV","Parkersburg, WV, USA","(39.2667418, -81.56151349999999)",,
"LADONIA, TX","Ladonia, TX, USA","(33.4248302, -95.9463564)",,
"WENATCHEE, WA","Wenatchee, WA 98801, USA","(47.4234599, -120.3103494)",,
"BREMERTON, WA","Bremerton, WA, USA","(47.5650067, -122.6269768)",,
"MALVERN, AR","Malvern, AR 72104, USA","(34.3623149, -92.81294620000001)",,
"MORRIS, IL","Morris, IL 60450, USA","(41.357254, -88.4211785)",,
"ROSENBERG, TX","Rosenberg, TX, USA","(29.5571825, -95.80856229999999)",,
"LEXINGTON, TN","Lexington, TN 38351, USA","(35.6509029, -88.3933796)",,
"SHIREMANSTOWN, PA","Shiremanstown, PA 17011, USA","(40.2234232, -76.95358619999999)",,
"OAK HARBOR, WA","Oak Harbor, WA 98277, USA","(48.28829469999999, -122.6484205)",,
"MIAMI GARDENS, FL","Miami Gardens, FL, USA","(25.9420377, -80.2456045)",,
"NORTHBROOK, IL","Northbrook, IL 60062, USA","(42.1275267, -87.82895479999999)",,
"BRUNDIDGE, AL","Brundidge, AL, USA","(31.7201615, -85.81605669999999)",,
"DRY BRANCH, GA","Dry Branch, GA 31020, USA","(32.8006943, -83.4985112)",,
"CREST HILL, IL","Crest Hill, IL, USA","(41.554753, -88.0986709)",,
"ERIE, MI","Erie, MI 48133, USA","(41.7939829, -83.4968452)",,
"KIMBALL, TN","Kimball, TN, USA","(35.0456979, -85.6759823)",,
"HANNIBAL, MO","Hannibal, MO 63401, USA","(39.7083789, -91.35848159999999)",,
"HERNANDO, MS","Hernando, MS, USA","(34.823987, -89.9937018)",,
"ANDERSON, IN","Anderson, IN, USA","(40.1053196, -85.6802541)",,
"JONESVILLE, MI","Jonesville, MI 49250, USA","(41.9842131, -84.6619015)",,
"GREENVILLE, MS","Greenville, MS, USA","(33.399661, -91.0377029)",,
"LEMARS, IA","Le Mars, IA 51031, USA","(42.79415669999999, -96.1655778)",,
"ARCADIA, LA","Arcadia, LA, USA","(32.5490406, -92.920158)",,
"ROUTE TRUCKS, UT","Utah, USA","(39.3209801, -111.0937311)",,
"BLAIRMORE, AB","Blairmore, Crowsnest Pass, AB T0K, Canada","(49.6102662, -114.4511912)",,
"ATHOL, ID","Athol, ID 83801, USA","(47.9479601, -116.7079745)",,
"ST LAURENT, PQ","Saint-Laurent, Montreal, QC, Canada","(45.4985638, -73.74975669999999)",,
"SALMON ARM, BC","Salmon Arm, BC, Canada","(50.7001034, -119.2838443)",,
"MEDFORD, OR","Medford, OR, USA","(42.3265152, -122.8755949)",,
"MOUNT BETHEL, PA","Mt Bethel, PA 18343, USA","(40.9048188, -75.1115654)",,
"SHANGHAI, CN","Shanghai, China","(31.230416, 121.473701)",,
"PENDLETON, OR","Pendleton, OR 97801, USA","(45.672075, -118.7885967)",,
"BONNER, MT","Bonner-West Riverside, MT, USA","(46.8789224, -113.8932527)",,
"YORKVILLE, NY","Yorkville, NY, USA","(43.1128475, -75.2709991)",,
"CAMDEN, AR","Camden, AR 71701, USA","(33.5845581, -92.8343294)",,
"PALMETTO, FL","Palmetto, FL, USA","(27.5214269, -82.57231929999999)",,
"SAND SPRINGS, OK","Sand Springs, OK, USA","(36.1398102, -96.108891)",,
"SMYRNA, DE","Smyrna, DE 19977, USA","(39.2998339, -75.6046494)",,
"RICHMOND, KY","Richmond, KY, USA","(37.7478572, -84.2946539)",,
"DEARBORN, MI","Dearborn, MI, USA","(42.3222599, -83.17631449999999)",,
"CENTER TUFTONBORO, NH","Center Tuftonboro, Tuftonboro, NH 03816, USA","(43.6542439, -71.2472913)",,
"BROWNSTOWN TOWNSHIP, MI","Brownstown Charter Twp, MI, USA","(42.1261157, -83.2572332)",,
"WETUMPKA, AL","Wetumpka, AL, USA","(32.5437448, -86.2119127)",,
"ALTON, NH","Alton, NH, USA","(43.4543228, -71.2189721)",,
"ALTHA, FL","Altha, FL 32421, USA","(30.5704721, -85.12714419999999)",,
"DACULA, GA","Dacula, GA 30019, USA","(33.9887165, -83.8979573)",,
"LEE, NH","Lee, NH, USA","(43.12224399999999, -71.0120127)",,
"ANKENY, IA","Ankeny, IA, USA","(41.7317884, -93.6001278)",,
"NOTTINGHAM, NH","Nottingham, NH, USA","(43.1145285, -71.099784)",,
"ROSSVILLE, GA","Rossville, GA 30741, USA","(34.9831309, -85.2860676)",,
"EAST LONGMEADOW, MA","East Longmeadow, MA 01028, USA","(42.0645396, -72.5125863)",,
"EASTPOINT, FL","Eastpoint, FL 32328, USA","(29.7361695, -84.8880506)",,
"BURLINGTON, WI","Burlington, WI 53105, USA","(42.6780726, -88.27620259999999)",,
"VERSAILLES, KY","Versailles, KY 40383, USA","(38.05257599999999, -84.7299464)",,
"ABERDEEN, WA","Aberdeen, WA, USA","(46.9753708, -123.8157218)",,
"PECATONICA, IL","Pecatonica, IL 61063, USA","(42.3139078, -89.3592788)",,
"HENDERSON, TN","Henderson, TN 38340, USA","(35.4392435, -88.641441)",,
"FT PAYNE, AL","Fort Payne, AL, USA","(34.4442547, -85.7196893)",,
"VILLE ST-LAURENT, QC","Saint-Laurent, Montreal, QC, Canada","(45.4985638, -73.74975669999999)",,
"LULU ISLAND YARD, BC","No 8 Rd, Richmond, BC V6V 1S2, Canada","(49.1950088, -123.0246153)",,
"HOOD RIVER, OR","Hood River, OR 97031, USA","(45.7067985, -121.528087)",,
"SAN ANTONIO, CL","503 W Chavaneaux Rd, San Antonio, TX 78221, USA","(29.3211261, -98.51131389999999)",,
"MAPLE GROVE, MN","Maple Grove, MN, USA","(45.0724642, -93.4557877)",,
"LINCOLN, NH","Lincoln, NH, USA","(44.0380087, -71.67250659999999)",,
"BYRDSTOWN, TN","Byrdstown, TN 38549, USA","(36.5745104, -85.1288435)",,
"CHURCH HILL, TN","Church Hill, TN 37642, USA","(36.5223207, -82.7134921)",,
"ROSE HILL, NC","Rose Hill, NC 28458, USA","(34.8282235, -78.0230416)",,
"THOMSON, GA","Thomson, GA 30824, USA","(33.4706927, -82.50457329999999)",,
"LENEXA, KS","Lenexa, KS, USA","(38.9536174, -94.73357089999999)",,
"CHEROKEE, AL","Cherokee, AL 35616, USA","(34.7570342, -87.9728143)",,
"YOKOHAMA, JP","Yokohama, Kanagawa, Japan","(35.4436739, 139.6379639)",,
"TOKYO, JP","Tokyo, Japan","(35.6761919, 139.6503106)",,
"AUSTELL, GA","Austell, GA, USA","(33.8126059, -84.6343783)",,
"NAVEGANTES, SC","Navegantes, State of Santa Catarina, Brazil","(-26.8947924, -48.6550692)",,
"HAYDEN, ID","Hayden, ID, USA","(47.76601609999999, -116.7865815)",,
"CLARKSVILLE, TN","Clarksville, TN, USA","(36.5297706, -87.3594528)",,
"GOLDSBORO, NC","Goldsboro, NC, USA","(35.3848841, -77.9927651)",,
"SKANEATELES, NY","Skaneateles, NY 13152, USA","(42.947011, -76.42910169999999)",,
"WYANDANCH, NY","Wyandanch, NY, USA","(40.7539878, -73.360398)",,
"SPRING HILL, TN","Spring Hill, TN, USA","(35.751179, -86.9300023)",,
"MONROE, WI","Monroe, WI 53566, USA","(42.60111939999999, -89.6384532)",,
"COPPELL, TX","Coppell, TX, USA","(32.9545687, -97.01500779999999)",,
"ROSENHAYN, NJ","Rosenhayn, Deerfield, NJ, USA","(39.47817080000001, -75.13129289999999)",,
"ALTOONA, PA","Altoona, PA, USA","(40.5186809, -78.3947359)",,
"SPARTA, NJ","Sparta, NJ 07871, USA","(41.0360977, -74.6367057)",,
"RIDGELAND, SC","Ridgeland, SC 29936, USA","(32.4807435, -80.980386)",,
"SAINT MARYS, PA","St Marys, PA, USA","(41.42737380000001, -78.5609398)",,
"HENDERSON, KY","Henderson, KY 42420, USA","(37.8361538, -87.59001339999999)",,
"WILSON, NC","Wilson, NC, USA","(35.7212689, -77.9155395)",,
"GRANITEVILLE, SC","Graniteville, SC, USA","(33.5633311, -81.80816220000001)",,
"PLYMOUTH, MN","Plymouth, MN, USA","(45.0105194, -93.4555093)",,
"BAYPORT, MN","Bayport, MN, USA","(45.01888779999999, -92.7777989)",,
"ALBERT LEA, MN","Albert Lea, MN 56007, USA","(43.6478006, -93.3686555)",,
"SHELBYVILLE, KY","Shelbyville, KY 40065, USA","(38.2120144, -85.2235666)",,
"JACKSON, AL","Jackson, AL 36545, USA","(31.5090521, -87.8944435)",,
"JACKSON, OH","Jackson, OH 45640, USA","(39.0520169, -82.6365536)",,
"BETHESDA, OH","Bethesda, OH 43719, USA","(40.0161818, -81.0726013)",,
"CUYAHOGA HEIGHTS, OH","Cuyahoga Heights, OH, USA","(41.4353301, -81.6573501)",,
"GRANDVILLE, MI","Grandville, MI, USA","(42.9097484, -85.7630885)",,
"NEW BALTIMORE, MI","New Baltimore, MI 48047, USA","(42.6811436, -82.7368616)",,
"NOVI, MI","Novi, MI, USA","(42.48059, -83.4754913)",,
"OAKWOOD VILLAGE, OH","Oakwood, OH 44146, USA","(41.367, -81.503943)",,
"RHINELANDER, WI","Rhinelander, WI 54501, USA","(45.6366228, -89.4120753)",,
"TAR HEEL, NC","Tar Heel, NC 28392, USA","(34.7332237, -78.79002129999999)",,
"SOUTH EL MONTE, CA","South El Monte, CA 91733, USA","(34.0519548, -118.0467339)",,
"MELVILLE, NY","Melville, NY, USA","(40.7934322, -73.41512139999999)",,
"ROBERSONVILLE, NC","Robersonville, NC 27871, USA","(35.8251589, -77.24912979999999)",,
"TROIS RIVIERES, QC","Trois-Rivières, QC, Canada","(46.34298200000001, -72.5420716)",,
"MORRISONVILLE, NY","Morrisonville, NY, USA","(44.6930981, -73.5620818)",,
"CHESTERFIELD, MI","Chesterfield Township, MI, USA","(42.6960659, -82.79941939999999)",,
"MORRISTOWN, NJ","Morristown, NJ 07960, USA","(40.79676670000001, -74.4815438)",,
"LITTLE ROCK, AR","Little Rock, AR, USA","(34.7464809, -92.28959479999999)",,
"SWEET HOME, OR","Sweet Home, OR, USA","(44.3976247, -122.7361958)",,
"OAKLAND, CA","Oakland, CA, USA","(37.8043514, -122.2711639)",,
"BRUNSWICK, GA","Brunswick, GA, USA","(31.1499528, -81.49148939999999)",,
"KINGSTON, ON","Kingston, ON, Canada","(44.2311717, -76.4859544)",,
"BROOKINGS, OR","Brookings, OR 97415, USA","(42.0526114, -124.2839819)",,
"HOQUIAM, WA","Hoquiam, WA, USA","(46.97704299999999, -123.8839028)",,
"MORA, MN","Mora, MN 55051, USA","(45.8769031, -93.29383519999999)",,
"IRWINDALE, CA","Irwindale, CA, USA","(34.1069527, -117.9353413)",,
"SAN DIMAS, CA","San Dimas, CA, USA","(34.1066756, -117.8067257)",,
"CHALLIS, ID","Challis, ID 83226, USA","(44.5046445, -114.2317308)",,
"MCBEE, SC","McBee, SC 29101, USA","(34.4690418, -80.2559033)",,
"LIMERICK, PA","Limerick Township, PA, USA","(40.2383606, -75.5393155)",,
"HONEA PATH, SC","Honea Path, SC 29654, USA","(34.4465018, -82.3915121)",,
"MT CARMEL, PA","Mt Carmel, PA 17851, USA","(40.7970312, -76.41189609999999)",,
"BRUNSWICK, ME","Brunswick, ME 04011, USA","(43.9140162, -69.966996)",,
"GOUVERNEUR, NY","Gouverneur, NY 13642, USA","(44.33672809999999, -75.462993)",,
"NORTHVILLE, MI","Northville, MI, USA","(42.4311464, -83.4832692)",,
"EXETER, NH","Exeter, NH 03833, USA","(42.9814292, -70.9477546)",,
"TROY, MI","Troy, MI, USA","(42.6064095, -83.1497751)",,
"BEAVER DAMS, NY","Beaver Dams, NY 14812, USA","(42.2911853, -76.95968549999999)",,
"PALMYRA, WI","Palmyra, WI 53156, USA","(42.8777882, -88.58621219999999)",,
"BIG SANDY, TX","Big Sandy, TX 75755, USA","(32.58375210000001, -95.1088328)",,
"INDIAN LAKE, NY","Indian Lake, NY, USA","(43.7824501, -74.2653667)",,
"COEUR DALENE, ID","Coeur d'Alene, ID, USA","(47.6734632, -116.7812225)",,
"EAST HELENA, MT","East Helena, MT 59635, USA","(46.5896567, -111.9155461)",,
"WILLARD, OH","Willard, OH 44890, USA","(41.0531109, -82.7262906)",,
"CENTRAL ISLIP, NY","Central Islip, NY, USA","(40.7906538, -73.20178109999999)",,
"WARE, MA","Ware, MA 01082, USA","(42.2598457, -72.2398566)",,
"LETHBRIDGE COUNTY, AB","Lethbridge, AB, Canada","(49.6955856, -112.8451364)",,
"PORT COQUITLAM, BC","Port Coquitlam, BC, Canada","(49.2628382, -122.7810708)",,
"WOODBRIDGE, ON","Woodbridge, Vaughan, ON, Canada","(43.7761753, -79.60924299999999)",,
"MATTOON, IL","Mattoon, IL 61938, USA","(39.48308970000001, -88.37282549999999)",,
"RAPID CITY, SD","Rapid City, SD, USA","(44.0805434, -103.2310149)",,
"HUNTINGTON, WV","Huntington, WV, USA","(38.4192496, -82.44515400000002)",,
"REMINGTON, IN","Remington, IN 47977, USA","(40.7608729, -87.1508522)",,
"GROVEPORT, OH","Groveport, OH, USA","(39.8532057, -82.88827599999999)",,
"DERBY, VT","Derby, VT, USA","(44.9544448, -72.1303638)",,
"PAGELAND, SC","Pageland, SC 29728, USA","(34.7732102, -80.39173149999999)",,
"GLOUCESTER CITY, NJ","Gloucester City, NJ, USA","(39.8917799, -75.1162863)",,
"ANDOVER, NJ","Andover, NJ, USA","(40.98593109999999, -74.74210889999999)",,
"BROADALBIN, NY","Broadalbin, NY 12025, USA","(43.0586846, -74.1965206)",,
"CENTRALIA, IL","Centralia, IL 62801, USA","(38.5285169, -89.1316944)",,
"ROCKY MOUNT, VA","Rocky Mount, VA 24151, USA","(36.9976403, -79.8919774)",,
"FLORENCE, AL","Florence, AL, USA","(34.79981, -87.677251)",,
"ROCHESTER, MN","Rochester, MN, USA","(44.0121221, -92.4801989)",,
"WASHINGTON, PA","Washington, PA 15301, USA","(40.17396, -80.2461714)",,
"ARCADIA, FL","Arcadia, FL 34266, USA","(27.2158826, -81.8584164)",,
"GORDONSVILLE, VA","Gordonsville, VA 22942, USA","(38.1373577, -78.187781)",,
"GREENWICH, CT","Greenwich, CT, USA","(41.0262417, -73.6281964)",,
"FALLS CHURCH, VA","Falls Church, VA, USA","(38.88233400000001, -77.1710914)",,
"UPPER MARLBORO, MA","Upper Marlboro, MD 20772, USA","(38.8159473, -76.74969089999999)",,
"CASS LAKE, MN","Cass Lake, MN 56633, USA","(47.3793942, -94.6043207)",,
"HOPKINTON, NH","Hopkinton, NH, USA","(43.1947744, -71.69106599999999)",,
"BOSCAWEN, NH","Boscawen, NH, USA","(43.32439309999999, -71.636864)",,
"SPRINGFIELD, OR","Springfield, OR, USA","(44.0462362, -123.0220289)",,
"MANILA, PH","Manila, Metro Manila, Philippines","(14.5995124, 120.9842195)",,
"RANDLE, WA","Randle, WA 98377, USA","(46.535335, -121.9572497)",,
"GEORGETOWN, ON","Georgetown, Halton Hills, ON, Canada","(43.6502046, -79.9036236)",,
"SAN DIEGO, CA","San Diego, CA, USA","(32.715738, -117.1610838)",,
"MALVERN, PA","Malvern, PA 19355, USA","(40.0362184, -75.5138118)",,
"NORTH BERGEN, NJ","North Bergen, NJ, USA","(40.8042674, -74.012084)",,
"PORTLAND, IN","Portland, IN 47371, USA","(40.43448950000001, -84.9777455)",,
"LAFAYETTE, LA","Lafayette, LA, USA","(30.2240897, -92.0198427)",,
"CENTERPORT, PA","Centerport, PA 19541, USA","(40.4862045, -76.0074362)",,
"LILBURN, GA","Lilburn, GA 30047, USA","(33.8901036, -84.14297189999999)",,
"CLARA CITY, MN","Clara City, MN 56222, USA","(44.9555652, -95.3671542)",,
"SOCIAL CIRCLE, GA","Social Circle, GA 30025, USA","(33.656228, -83.718231)",,
"FALLSINGTON, PA","Fallsington, PA 19054, USA","(40.1873314, -74.8187743)",,
"CAPE TOWN, ZA","Cape Town, South Africa","(-33.9248685, 18.4240553)",,
"DURBAN, ZA","Durban, South Africa","(-29.85868039999999, 31.0218404)",,
"JAMESTOWN, NY","Jamestown, NY 14701, USA","(42.0970023, -79.23532589999999)",,
"MYRTLE BEACH, SC","Myrtle Beach, SC, USA","(33.6890603, -78.8866943)",,
"LAKE NORDEN, SD","Lake Norden, SD 57248, USA","(44.5805215, -97.209238)",,
"MANCHESTER, CT","Manchester, CT, USA","(41.7759301, -72.52150089999999)",,
"CHELAN, WA","Chelan, WA 98816, USA","(47.8408323, -120.0168079)",,
"BIDDEFORD, ME","Biddeford, ME 04005, USA","(43.4925843, -70.45338439999999)",,
"LAKE CITY, SC","Lake City, SC 29560, USA","(33.8709958, -79.7553451)",,
"MOUNT MORRIS, NY","Mt Morris, NY 14510, USA","(42.72561839999999, -77.8741694)",,
"BROOKLYN HEIGHTS, OH","Brooklyn Heights, OH, USA","(41.4164222, -81.6665149)",,
"RIPON, WI","Ripon, WI 54971, USA","(43.8422049, -88.8359447)",,
"THORNTON, NH","Thornton, NH, USA","(43.8928475, -71.6759125)",,
"FAIRFIELD, CA","Fairfield, CA, USA","(38.2491956, -122.0405151)",,
"NORTH HAMPTON, NH","North Hampton, NH, USA","(42.9737623, -70.8351792)",,
"ANAMOSA, IA","Anamosa, IA 52205, USA","(42.1083371, -91.28515940000001)",,
"SINKING SPRINGS, PA","Sinking Spring, PA 19608, USA","(40.3273146, -76.01104889999999)",,
"BEAVERTON (UP), OR","9665 SW Allen Blvd Ste 110, Beaverton, OR 97005, USA","(45.4743749, -122.7762528)",,
"RICE LAKE, WI","Rice Lake, WI, USA","(45.5060682, -91.738225)",,
"WILLIAMSTOWN, NY","Williamstown, NY 13493, USA","(43.4239588, -75.8899148)",,
"LACROSSE, WI","La Crosse, WI, USA","(43.8137751, -91.25190169999999)",,
"SPRINGFIELD, KY","Springfield, KY 40069, USA","(37.6853413, -85.2221819)",,
"ATTICA, NY","Attica, NY, USA","(42.8226861, -78.2703951)",,
"FORT SILL, OK","Fort Sill, OK, USA","(34.5938359, -98.4184224)",,
